CustomerID,Customer_Name,Age,Phone_Number,Gender,DOB
54130,Jack Davis,31,0706687509,Other,1979-12-11
71256,Jack Garcia,33,0708991940,Female,1994-03-14
74346,Bob Lopez,37,0751914589,Other,2006-07-21
73547,Alice Jackson,21,0722641377,Female,1969-04-07
52411,Charlie Lee,24,0728237474,Female,1952-03-12
82688,Grace Brown,31,0732883905,Prefer not to say,1964-03-19
53722,Jack Garcia,33,0716624150,Male,1973-11-12
71071,Alice Jackson,31,0720580963,Other,1951-04-14
53816,Bob Martinez,20,0768763193,Female,2005-12-19
69453,Alice Lee,64,0749146474,Prefer not to say,2011-07-21
88431,Frank Garcia,58,0716211546,Female,2004-12-26
82402,Bob Lopez,45,0763828709,Female,1979-06-08
59651,Ivy Smith,36,0722684701,Female,1966-10-05
86596,Henry Johnson,48,0724707810,Female,1973-05-14
52619,Alice Brown,61,0718247120,Other,2008-02-21
78137,Alice Lopez,55,0732173813,Male,1981-10-17
84121,Bob Davis,61,0738871619,Male,1983-07-01
54843,David Martinez,60,0703255441,Male,2004-05-13
66497,David Jackson,18,0795372086,Prefer not to say,1990-09-02
67898,Ivy Lopez,54,0725661007,Male,2008-05-19
88934,Charlie Garcia,41,0734989748,Female,1973-05-06
63725,Ivy Johnson,58,0778013805,Female,1994-08-17
52046,Charlie Lee,23,0725229957,Female,1996-06-07
60463,Charlie Smith,23,0753149380,Female,2009-03-03
51626,Henry Brown,37,0739420775,Other,1959-07-06
85580,Charlie Brown,29,0799120955,Female,2002-07-21
82486,Bob Lopez,39,0795843998,Male,1996-02-21
70742,Bob Garcia,53,0730586037,Female,2004-12-24
75469,David Martinez,55,0790157088,Prefer not to say,1987-12-09
66177,Bob Johnson,54,0715055485,Other,1962-10-04
60181,Alice Lopez,45,0716653035,Female,1953-02-08
63801,Ivy Hill,65,0735335988,Prefer not to say,1953-03-03
72403,Frank Martinez,23,0759900382,Other,1993-01-10
54487,Grace Hill,56,0781171135,Female,2011-12-01
78024,Jack Smith,45,0711359012,Other,1955-01-19
85753,Bob Jackson,52,0793564124,Female,1991-01-08
79017,Emma Jackson,56,0704288776,Male,1972-03-01
53402,Henry Johnson,52,0777456808,Female,1978-12-04
84092,Charlie Davis,36,0749051081,Male,1957-05-20
65012,Frank Jackson,21,0727360867,Male,1980-10-23
86280,Alice Lee,61,0745830460,Other,1959-02-27
85804,Jack Smith,19,0728668221,Other,1952-11-22
76362,Jack Davis,63,0778374783,Other,1986-07-05
53831,Emma Brown,53,0785485241,Prefer not to say,1991-11-27
71334,Grace Johnson,19,0762522042,Prefer not to say,1953-02-14
57221,David Smith,49,0772463771,Prefer not to say,1979-04-07
56308,Emma Brown,31,0709772193,Male,2013-08-20
76728,Emma Lopez,27,0787044182,Other,1961-04-22
59181,Frank Lee,22,0727649689,Other,1997-05-20
81297,Charlie Jackson,22,0725341777,Other,1968-05-14
62496,Bob Davis,62,0705043310,Female,1981-04-23
80597,Ivy Smith,57,0704492030,Female,1973-10-18
80417,Alice Johnson,23,0771852809,Male,1992-01-08
66346,Jack Martinez,49,0749982397,Prefer not to say,1965-12-02
59304,Grace Davis,31,0749582641,Female,2014-05-11
51236,Bob Davis,35,0791101636,Other,2009-02-04
62455,David Brown,50,0772108989,Other,1976-02-24
87263,Alice Brown,19,0702671996,Male,1992-12-21
